cluster_ID,num_rows,sum_passenger_count,sum_trip_distance,sum_trip_durations,avg_trip_durations,pickup_hour,pickup_day,Bronx,Manhattan,Queens,Brooklyn,Outside of NYC,Staten Island,Unknown,EWR
0,7.0,7.0,56.230000000000004,149.0,21.285714285714285,0,1,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
1,4.0,7.0,9.629999999999999,40.0,10.0,1,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.0,6.0,19.419999999999998,62.0,10.333333333333334,2,1,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
3,7.0,8.0,35.69,127.0,18.142857142857142,3,1,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.0,8.0,36.485,194.0,24.25,4,1,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,4.0,5.0,8.03,42.0,10.5,5,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,2.0,12.14,27.0,13.5,6,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.0,5.0,35.74,111.0,22.2,7,1,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
8,8.0,8.0,52.84,178.0,22.25,8,1,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,9.0,82.93,284.0,31.555555555555557,9,1,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
10,10.0,10.0,39.78,174.0,17.4,10,1,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,10.0,13.0,50.36,231.0,23.1,11,1,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
12,7.0,7.0,33.71,201.0,28.714285714285715,12,1,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4.0,4.0,14.1,83.0,20.75,13,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,13.0,14.0,57.330000000000005,283.0,21.76923076923077,14,1,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
15,10.0,14.0,68.25,276.0,27.6,15,1,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
16,2.0,2.0,12.799999999999999,50.0,25.0,16,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,2.0,7.0,1.7000000000000002,10.0,5.0,17,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3.0,4.0,30.366666666666667,81.0,27.0,18,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,4.0,6.0,31.296666666666667,118.0,29.5,19,1,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,3.0,4.0,9.69,41.0,13.666666666666666,20,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,2.0,5.09,18.0,18.0,21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,1.0,11.76,14.0,14.0,22,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,2.0,3.0,4.5,22.0,11.0,23,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,1.0,1.11,5.0,5.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,3.0,3.0,24.14,48.0,16.0,1,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,1.0,2.0,0.95,11.0,11.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3.0,3.0,26.00666666666667,57.666666666666664,23.833333333333332,3,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28,3.0,3.0,26.00666666666667,57.666666666666664,23.833333333333332,4,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3.0,3.0,26.00666666666667,57.666666666666664,23.833333333333332,5,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,5.0,5.0,57.81,169.0,33.8,6,2,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
