cluster_ID,num_rows,sum_passenger_count,sum_trip_distance,sum_trip_durations,avg_trip_durations,pickup_hour,pickup_day,Bronx,Manhattan,Queens,Brooklyn,Outside of NYC,Staten Island,Unknown,EWR,day_of_week,week_of_month,holiday,row_index,date,temperature_2m,precipitation
0,7.0,7.0,56.23,149.0,21.285714285714285,0,1,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7,1,1,0,2023-01-01 00:00:00+00:00,9.7435,0.4
1,4.0,7.0,9.63,40.0,10.0,1,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,1,2023-01-01 01:00:00+00:00,10.5935,1.2
2,6.0,6.0,19.42,62.0,10.333333333333334,2,1,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,7,1,1,2,2023-01-01 02:00:00+00:00,11.143499,0.7
3,7.0,8.0,35.69,127.0,18.142857142857142,3,1,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,3,2023-01-01 03:00:00+00:00,11.0435,2.2
4,8.0,8.0,36.485,194.0,24.25,4,1,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7,1,1,4,2023-01-01 04:00:00+00:00,10.8435,1.7
5,4.0,5.0,8.03,42.0,10.5,5,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,5,2023-01-01 05:00:00+00:00,10.8435,1.1
6,2.0,2.0,12.14,27.0,13.5,6,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,6,2023-01-01 06:00:00+00:00,10.4935,0.2
7,5.0,5.0,35.74,111.0,22.2,7,1,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1,1,7,2023-01-01 07:00:00+00:00,10.5435,0.0
8,8.0,8.0,52.84,178.0,22.25,8,1,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,8,2023-01-01 08:00:00+00:00,9.893499,0.0
9,9.0,9.0,82.93,284.0,31.555555555555557,9,1,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,7,1,1,9,2023-01-01 09:00:00+00:00,9.2935,0.0
10,10.0,10.0,39.78,174.0,17.4,10,1,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7,1,1,10,2023-01-01 10:00:00+00:00,8.8435,0.0
11,10.0,13.0,50.36,231.0,23.1,11,1,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7,1,1,11,2023-01-01 11:00:00+00:00,8.3435,0.0
12,7.0,7.0,33.71,201.0,28.714285714285715,12,1,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,12,2023-01-01 12:00:00+00:00,8.0435,0.0
13,4.0,4.0,14.1,83.0,20.75,13,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,13,2023-01-01 13:00:00+00:00,8.3435,0.0
14,13.0,14.0,57.330000000000005,283.0,21.76923076923077,14,1,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7,1,1,14,2023-01-01 14:00:00+00:00,9.7435,0.0
15,10.0,14.0,68.25,276.0,27.6,15,1,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,7,1,1,15,2023-01-01 15:00:00+00:00,10.2935,0.0
16,2.0,2.0,12.8,50.0,25.0,16,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,1,1,16,2023-01-01 16:00:00+00:00,10.7435,0.0
17,2.0,7.0,1.7000000000000002,10.0,5.0,17,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,17,2023-01-01 17:00:00+00:00,11.0935,0.0
18,3.0,4.0,30.366666666666667,81.0,27.0,18,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7,1,1,18,2023-01-01 18:00:00+00:00,11.3435,0.0
19,4.0,6.0,31.296666666666667,118.0,29.5,19,1,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,1,1,19,2023-01-01 19:00:00+00:00,11.3435,0.0
20,3.0,4.0,9.69,41.0,13.666666666666666,20,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,20,2023-01-01 20:00:00+00:00,11.0435,0.0
21,1.0,2.0,5.09,18.0,18.0,21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,21,2023-01-01 21:00:00+00:00,9.643499,0.0
22,1.0,1.0,11.76,14.0,14.0,22,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,1,1,22,2023-01-01 22:00:00+00:00,6.1435003,0.0
23,2.0,3.0,4.5,22.0,11.0,23,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,1,23,2023-01-01 23:00:00+00:00,5.0935,0.0
24,1.0,1.0,1.11,5.0,5.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,24,2023-01-02 00:00:00+00:00,4.0435004,0.0
25,3.0,3.0,24.14,48.0,16.0,1,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,25,2023-01-02 01:00:00+00:00,3.8435,0.0
26,1.0,2.0,0.95,11.0,11.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,26,2023-01-02 02:00:00+00:00,3.0435,0.0
27,3.0,3.0,26.00666666666667,57.666666666666664,23.833333333333332,3,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,27,2023-01-02 03:00:00+00:00,5.5435004,0.0
28,3.0,3.0,26.00666666666667,57.666666666666664,23.833333333333332,4,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,28,2023-01-02 04:00:00+00:00,6.2935004,1.1
29,3.0,3.0,26.00666666666667,57.666666666666664,23.833333333333332,5,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,29,2023-01-02 05:00:00+00:00,6.4435,0.1
